<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.29	15:58:00	151.989	151.998	151.987	151.997	15	0	3
2025.10.29	15:59:00	151.998	152.003	151.991	152.000	45	0	3
2025.10.29	16:00:00	152.002	152.016	151.987	152.002	52	0	3
2025.10.29	16:01:00	152.004	152.040	152.003	152.032	44	0	3
2025.10.29	16:02:00	152.031	152.061	152.031	152.048	71	0	3
2025.10.29	16:03:00	152.050	152.055	152.028	152.032	59	0	3
2025.10.29	16:04:00	152.032	152.037	152.008	152.017	52	0	2
2025.10.29	16:05:00	152.018	152.022	151.996	152.014	54	0	3
2025.10.29	16:06:00	152.016	152.039	152.016	152.030	57	0	3
2025.10.29	16:07:00	152.030	152.041	152.019	152.023	42	0	3
2025.10.29	16:08:00	152.021	152.047	152.021	152.047	48	0	3
2025.10.29	16:09:00	152.046	152.071	152.046	152.067	41	0	3
2025.10.29	16:10:00	152.067	152.068	152.043	152.051	61	0	3
2025.10.29	16:11:00	152.054	152.070	152.051	152.055	58	0	3
2025.10.29	16:12:00	152.053	152.067	152.036	152.037	65	0	3
2025.10.29	16:13:00	152.035	152.050	152.031	152.047	59	0	3
2025.10.29	16:14:00	152.046	152.064	152.045	152.047	47	0	3
2025.10.29	16:15:00	152.048	152.060	152.032	152.045	47	0	3
2025.10.29	16:16:00	152.043	152.050	152.043	152.047	47	0	3
2025.10.29	16:17:00	152.048	152.062	152.047	152.059	51	0	3
2025.10.29	16:18:00	152.060	152.060	152.040	152.043	47	0	3
2025.10.29	16:19:00	152.044	152.053	152.035	152.035	38	0	3
2025.10.29	16:20:00	152.037	152.056	152.031	152.032	50	0	3
2025.10.29	16:21:00	152.035	152.050	152.034	152.039	50	0	3
2025.10.29	16:22:00	152.040	152.060	152.032	152.050	52	0	3
2025.10.29	16:23:00	152.049	152.061	152.022	152.022	54	0	3
2025.10.29	16:24:00	152.024	152.032	152.023	152.026	48	0	3
2025.10.29	16:25:00	152.027	152.027	151.994	151.995	34	0	3
2025.10.29	16:26:00	151.989	152.008	151.983	152.006	47	0	3
2025.10.29	16:27:00	152.005	152.058	152.005	152.055	54	0	3
2025.10.29	16:28:00	152.057	152.093	152.056	152.093	50	0	3
2025.10.29	16:29:00	152.090	152.090	152.080	152.083	54	0	3
2025.10.29	16:30:00	152.083	152.146	152.083	152.126	74	0	3
2025.10.29	16:31:00	152.125	152.135	152.109	152.110	57	0	3
2025.10.29	16:32:00	152.110	152.118	152.101	152.101	45	0	3
2025.10.29	16:33:00	152.102	152.129	152.102	152.129	42	0	3
2025.10.29	16:34:00	152.131	152.138	152.125	152.129	46	0	3
2025.10.29	16:35:00	152.127	152.142	152.127	152.129	44	0	3
2025.10.29	16:36:00	152.129	152.149	152.129	152.149	48	0	3
2025.10.29	16:37:00	152.151	152.168	152.148	152.162	41	0	3
2025.10.29	16:38:00	152.161	152.161	152.138	152.138	48	0	3
2025.10.29	16:39:00	152.129	152.143	152.129	152.130	47	0	3
2025.10.29	16:40:00	152.131	152.150	152.114	152.148	53	0	3
2025.10.29	16:41:00	152.149	152.161	152.145	152.149	54	0	3
2025.10.29	16:42:00	152.147	152.151	152.114	152.115	45	0	3
2025.10.29	16:43:00	152.115	152.116	152.071	152.093	55	0	3
2025.10.29	16:44:00	152.093	152.093	152.075	152.092	47	0	3
2025.10.29	16:45:00	152.090	152.118	152.083	152.115	57	0	3
2025.10.29	16:46:00	152.116	152.116	152.089	152.104	53	0	3
2025.10.29	16:47:00	152.104	152.114	152.098	152.101	45	0	3
2025.10.29	16:48:00	152.101	152.105	152.081	152.081	45	0	3
2025.10.29	16:49:00	152.081	152.090	152.067	152.067	40	0	4
2025.10.29	16:50:00	152.068	152.071	152.044	152.054	32	0	4
2025.10.29	16:51:00	152.055	152.080	152.046	152.079	36	0	4
2025.10.29	16:52:00	152.080	152.090	152.076	152.080	30	0	3
2025.10.29	16:53:00	152.080	152.082	152.068	152.068	33	0	4
2025.10.29	16:54:00	152.065	152.068	152.055	152.059	34	0	4
2025.10.29	16:55:00	152.058	152.070	152.056	152.066	36	0	4
2025.10.29	16:56:00	152.068	152.069	152.054	152.063	36	0	4
2025.10.29	16:57:00	152.063	152.090	152.063	152.068	49	0	4
2025.10.29	16:58:00	152.069	152.071	152.043	152.046	49	0	4
2025.10.29	16:59:00	152.047	152.047	152.023	152.035	60	0	4
2025.10.29	17:00:00	152.034	152.034	152.001	152.026	61	0	3
2025.10.29	17:01:00	152.027	152.028	152.002	152.004	47	0	3
2025.10.29	17:02:00	152.004	152.004	151.987	151.988	48	0	3
2025.10.29	17:03:00	151.989	151.994	151.970	151.970	47	0	3
